PartnerId,PartnerStatus,PartnerName,PartnerCode,PartnerInternalCode,PartnerType,ShortPartnerName,ComercialRegistration,FiscalRegistration,PartnerAddress,LegalForm,Notes,VATPayer,BankAccount,Delegate,Agent,BaseCurrency,Phone,Email,WEB,LastModified
500,indigo,Lorem Eget Industries,706745,Ria Barron,3733,989,%B6469124232634203^BrianLeon^2607877726?1,;675948515852=13021689? ,765 Magnis Av.,M6U 7L2,41813,Yuri,"Ina, Connor, Eric, Gavin",Amber,02 60 93 08 08,Hannah,1-439-640-3479,tortor.Integer.aliquam@hendrerit.ca,"Fri, Oct 20",
501,red,Turpis LLP,94892,Nell Scott,1785,707,%B6767469575013070^MaisieTate^70073174012?2,;6709234663091029=3705355188?9,Ap #357-3371 Nam St.,T1W 2G0,31031,Leigh,"Brent, Hedwig, Amy, Cara",Jana,05 18 09 09 21,Branden,1-109-349-0203,lacus.Etiam.bibendum@aliquam.net,"Sat, Feb 10",
502,orange,Nulla Facilisis LLC,86467,Kaye Gould,2146,536,%B4913668989318821^AhmedFischer^1601352794?4,;6470810000289595=78078117?4,Ap #808-7178 Ultrices Road,P9L 4W4,98837,Joy,"Ulysses, Zena, Bert, Yvette",Ivy,04 94 57 18 62,Philip,1-798-921-2991,est@hymenaeosMauris.edu,"Mon, Apr 17",
503,orange,Mauris LLC,590685,Ora Trevino,2368,632,%B4903854880200670^RamaWebster^85065584? ,;349164777207337=7707528957?5,1346 Semper Road,H6W 3R8,61653,Xaviera,"Jocelyn, Jelani, Leslie, Jarrod",Odette,01 13 94 07 10,Armando,1-437-149-6664,Curae@Nunclaoreetlectus.net,"Tue, Oct 23",
504,yellow,Bibendum LLP,4919,Shoshana Anderson,4354,299,%B180097471401925^LaviniaRoberts^19018886775?8,;214911049591043=1203492479? ,Ap #934-7980 Libero Rd.,F7W 1G6,1604,Althea,"Clayton, Xerxes, Libby, Imelda",Ayanna,06 67 53 12 76,Jillian,1-472-449-4049,tellus@eget.ca,"Tue, Oct 09",
505,indigo,Sit LLC,34970,Wendy Chang,9239,304,%B6472102116765033^WinterMarquez^93079868? ,;6304648500956046=22036272764?5,Ap #947-7171 Velit Rd.,D9Z 4P7,41934,Blaine,"Laura, Rowan, Leroy, Dalton",Ursa,06 51 76 30 87,Sydnee,1-627-241-9743,porttitor.tellus.non@elitpede.edu,"Sat, Jun 24",
506,violet,Molestie Sodales PC,71117,Sopoline Shelton,3631,965,%B6767075945231167^KendallFerguson^09108632631? ,;676227132443=1101402432?9,8403 Dui. Rd.,T8P 6W3,82770,Athena,"Cameron, Chaney, Lyle, Buckminster",Zoe,05 85 83 43 78,Laith,1-782-649-8673,non.leo@esttemporbibendum.com,"Sun, Jan 07",
507,violet,Integer Inc.,30228,Macy Farrell,7297,950,%B5497278569090195^KnoxMeyers^86019189758?7,;6331109733657221=02104265298? ,343-6023 Augue Rd.,B6W 5K1,34693,Melodie,"Finn, Casey, Ezekiel, Fredericka",Jaquelyn,09 74 14 01 30,Barry,1-211-956-8793,purus.accumsan.interdum@tempordiam.org,"Sun, Dec 10",
508,violet,In Consequat Foundation,831742,Naida Willis,1874,697,%B376130491832193^ReedMckenzie^8301255626? ,;214960733379074=8901298917? ,2130 Aliquam Rd.,X5M 0Z4,62205,Laura,"Ora, Mannix, Keaton, Desirae",Whilemina,02 81 41 66 81,Cyrus,1-626-239-8336,erat.Vivamus.nisi@scelerisquescelerisque.com,"Fri, Aug 04",
509,red,Vehicula Et Rutrum Associates,60119,Alice Duffy,3386,673,%B4929370665370^ErinHolman^7110851601? ,;6011809544433731=95013816069? ,514-4496 Nunc Rd.,X3G 7C4,5196,Ayanna,"Buckminster, Orla, Austin, Leandra",Kai,05 73 52 22 95,Idona,1-887-941-3681,vestibulum@nonarcu.edu,"Fri, Jul 14",
510,yellow,Convallis Company,59102,Shelley Swanson,6426,516,%B4466199283044^UtaWhitney^77104325215?9,;36751140568888=05059047? ,"P.O. Box 585, 6108 Nam Rd.",G1O 8P4,59831,Ruth,"Rama, Geraldine, Kirestin, Indigo",Basia,09 82 18 67 57,Brennan,1-968-920-9302,nec@noncursus.co.uk,"Mon, Jul 09",
511,blue,Penatibus Et Magnis Institute,9818,Eleanor Bates,6309,436,%B309759274176386^AnjolieRoy^03068093? ,;313242039641105=03098323?5,Ap #599-1245 Euismod Street,D4R 2D5,72039,Fleur,"Nehru, Constance, Jenna, Benjamin",Desiree,05 43 74 34 08,Timon,1-291-301-4635,senectus.et@interdum.ca,"Fri, Jul 28",
512,green,Nam Interdum Industries,47402-414,Lunea Rios,8544,615,%B4716799317612^DeclanOsborne^92062333? ,;313699630112903=06034631855?9,Ap #632-6133 Mollis Street,H7X 7F4,26457,Leigh,"Emerson, Geoffrey, Clementine, Jaden",Mira,04 26 25 47 50,Hakeem,1-468-632-5502,amet@telluseu.org,"Tue, Jan 31",
513,red,Mollis LLP,4469,Willa Beard,7792,129,%B4905690270106707^JustineFloyd^8502590604?3,;376405764974421=07038693426?7,379-6667 Dolor St.,J9P 0Z5,75831,Illiana,"Miranda, Declan, Zachery, Holmes",Leah,07 15 23 77 86,Frances,1-728-161-6130,ornare@euneque.edu,"Sun, Feb 05",
514,red,Donec Tincidunt Donec Limited,280278,Fatima Hampton,6570,788,%B6767922639905244^ColinCraig^22066445386?5,;6709729686539524=2605663138? ,6497 Sit Rd.,W9S 1V7,65481,Sybil,"Riley, Kitra, Zoe, Cade",Veda,06 22 57 28 04,Chaim,1-163-776-2552,erat@sempercursus.edu,"Tue, Nov 13",
515,blue,Litora Incorporated,83324,Lois Caldwell,1461,408,%B379768647775043^EmilyJames^32111994?8,;180069228048077=16105164868? ,"P.O. Box 698, 6977 Neque. St.",C6X 1Q4,84238,Anne,"Kylie, Warren, Kyra, Vernon",Karly,08 08 22 72 26,Naomi,1-200-238-2715,dictum@Craseu.net,"Thu, Jun 22",
516,blue,Ultrices Mauris Ipsum Industries,44295,Hilary Warren,7503,956,%B6304897228413836^CoraBoone^89113258282? ,;180019062965845=1401764825?8,5808 Aliquam Ave,B6X 4E8,6970,Hope,"Oren, Felix, Alden, Marny",Jorden,07 44 76 57 85,Yvonne,1-295-458-8340,Cum.sociis@Suspendissecommodo.org,"Fri, Oct 05",
517,indigo,Nulla Dignissim Maecenas Associates,30837,Roary Garcia,7342,978,%B36294061250418^BreeRichardson^25047716617?5,;214900121726932=88096561804?3,3018 Natoque Rd.,V1W 6T8,10517,Jillian,"Kirestin, Hu, Simon, Oliver",Myra,08 46 67 47 84,Samuel,1-374-613-9769,blandit@posuereenimnisl.edu,"Thu, Jun 15",
518,green,In Tempus Consulting,12-866,Irma Carpenter,7821,950,%B6491350191874116^JelaniMaldonado^32107846?7,;311060894431699=01036284? ,"304 Eget, Avenue",P2I 2D1,23936,Madonna,"Summer, Kasper, Raphael, Nathaniel",Lunea,02 36 90 03 03,Nell,1-365-469-8089,Sed@interdumenim.co.uk,"Thu, Sep 14",
519,green,Proin Limited,507947,Daryl Deleon,3859,273,%B36088850096101^AsherDickson^2812440954?2,;315561359975126=14126431?3,553-6945 Nascetur Rd.,I5X 7E9,58962,Xyla,"Camden, Kai, Quamar, Ava",Sigourney,01 75 11 73 38,Amaya,1-418-229-5652,risus.a@eleifendvitae.com,"Fri, Sep 07",
520,orange,Sed Dictum Proin PC,25-512,Xyla Sandoval,4798,588,%B309818548099111^WandaCain^74044348?3,;676218039391=0810455123?3,9094 Aliquam Road,O5M 0Z5,98307,Darrel,"Mercedes, Blaze, Lucy, Rhonda",Sage,01 78 60 04 98,Rigel,1-511-502-6744,at.auctor@laciniaSedcongue.edu,"Fri, Jul 20",
521,indigo,Dolor Sit Limited,81676-097,Quin Dudley,5546,889,%B30233839157261^ImeldaShaw^29024683824? ,;36354536360711=30113946? ,Ap #671-186 Ultrices. Ave,J8E 3R3,78612,Kameko,"Hilel, Benedict, Tara, Elton",Kiayada,07 43 30 35 60,Declan,1-959-364-8804,vestibulum@necurnaet.edu,"Thu, May 18",
522,red,Eget Odio Aliquam Corp.,28909,Hilda Frazier,6773,268,%B30004730982598^MasonJefferson^8703437564? ,;4532002980769=8706879968? ,4892 Curae; St.,A7A 2C9,70373,Wyoming,"Mercedes, Genevieve, Jerry, Kuame",Amena,08 46 81 87 59,Kaye,1-466-683-1770,ac@metus.com,"Sat, Nov 24",
523,blue,Neque Venenatis Foundation,541390,Basia Webb,4766,600,%B6473554015857601^WangCain^31064218?9,;377813182309527=74032416233? ,"P.O. Box 851, 7118 Mi Av.",T3M 0K0,79109,Joan,"Yoko, Graiden, Gareth, Kylynn",Reagan,05 78 41 54 04,Zelda,1-246-605-4269,aliquet@nec.com,"Sun, Mar 25",
524,violet,Montes Nascetur Ridiculus PC,7049 SW,Florence Turner,5497,670,%B5209182515953184^UrsulaHutchinson^78113789? ,;676361415935=3410172298? ,9954 Vitae Rd.,P4L 8D6,48934,TaShya,"Jolie, Phelan, Armand, Hasad",Ignacia,07 33 83 05 57,Inga,1-355-363-3922,Praesent@varius.edu,"Fri, Apr 14",
525,yellow,At Foundation,836509,Shana Olsen,4884,787,%B36006632777293^BreeRobles^81034049? ,;6767695756778160=1701915713?3,1343 Luctus Av.,Q0J 8P6,93027,Lana,"Tyrone, Shafira, Rebekah, Brynne",Kim,09 63 31 29 20,Yuli,1-956-352-8345,Duis.sit.amet@elitpede.net,"Sat, Jan 06",
526,green,Massa Non Ante Company,48947,Tara Mcpherson,7854,768,%B36287736842429^HakeemWatts^38017214? ,;4532379756743=71052861276? ,4702 Ullamcorper Street,G2O 5Y9,1077,Olivia,"Dakota, Buffy, Burke, Perry",Amena,01 57 16 76 96,Miranda,1-605-479-6579,tincidunt.nunc.ac@adipiscinglobortisrisus.edu,"Fri, Apr 20",
527,yellow,Aliquam Ultrices Iaculis Associates,8536,Kiayada Tillman,8677,154,%B6767478626866196^KuameDickson^90041494641? ,;36668634012738=30045036044? ,"P.O. Box 157, 7719 Posuere Street",Q0A 0Z8,55481,Mallory,"Beau, Keelie, Ella, Ahmed",Ariel,09 26 92 18 91,Quinlan,1-523-707-5245,penatibus.et@vel.net,"Thu, Nov 08",
